loss,accuracy
0.4875487685203552,0.7799816131591797
0.4430392384529114,0.8059897422790527
0.4174646735191345,0.8172861933708191
0.39532095193862915,0.8330487608909607
0.367194265127182,0.8442138433456421
0.3453975021839142,0.8555102944374084
0.3165716230869293,0.8714041709899902
0.2892141342163086,0.8832260370254517
0.2632903456687927,0.8964928388595581
0.23647929728031158,0.9096282720565796
0.2113601416349411,0.9225009679794312
0.18701107800006866,0.9320898652076721
0.1731146275997162,0.9365558624267578
0.15230369567871094,0.948377788066864
0.13902658224105835,0.9544200897216797
0.14208972454071045,0.9502167105674744
0.12997853755950928,0.9574412107467651
0.11997686326503754,0.9595428705215454
0.12219493836164474,0.9594115614891052
0.10108275711536407,0.9672927856445312
0.11600565165281296,0.9601996541023254
0.09948359429836273,0.9679495692253113
0.10452868789434433,0.9633521437644958
0.10532747954130173,0.9626953601837158
0.08382381498813629,0.9700512290000916
0.0838022232055664,0.9705766439437866
0.10491000860929489,0.9623013138771057
0.07759643346071243,0.9714961051940918
0.081229068338871,0.9708393812179565
0.07308760285377502,0.9725469350814819
