accuracy,loss
0.6404027957336781,0.6498619448535318
0.7348396089204912,0.5592493678993713
0.7534138655462185,0.5303509095922971
0.7686449579831933,0.513269281970502
0.7749474789915967,0.5004451950550625
0.7850577731092437,0.4904020361116481
0.7916228991596639,0.4828160657759398
0.7963497899159664,0.4754334221680139
0.8019957983193278,0.4703804144404336
0.8019957983193278,0.4689389611623934
0.8079044117647058,0.4645461914255868
0.8096113445378151,0.4631255256179041
0.8109243697478992,0.46331319102014507
0.819327731092437,0.45224460116034787
0.8189338235294118,0.44831694774132075
0.8210346638655462,0.444057928318125
0.8222163865546218,0.44036688080784464
0.8286502100840336,0.4346629415744811
0.8300945378151261,0.4319059503159383
0.834296218487395,0.4279739412419264
0.8371848739495799,0.42274164429155725
0.838891806722689,0.41963247149036204
0.8403361344537815,0.41689505698457796
0.8430934873949579,0.4127989677054614
0.8409926470588235,0.4165071086743821
0.8461134453781513,0.40874108291551875
0.8492647058823529,0.40318716122106624
0.8538602941176471,0.39846927598777065
0.8551733193277311,0.39590060893623036
0.8550420168067226,0.393105591496681
